1,1,1689,385,146.62,332.71,1,-1,-1,-1
1,2,1303,503,61.514,139.59,1,-1,-1,-1
1,3,1258,569,40.123,91.049,1,-1,-1,-1
1,4,31,525,113.37,257.27,1,-1,-1,-1
1,5,1800,483,94.66,214.81,1,-1,-1,-1
2,1,1689,385,146.62,332.71,1,-1,-1,-1
2,2,1312,503,61.514,139.59,1,-1,-1,-1
2,3,1254,537,52.0,118.0,1,-1,-1,-1
2,4,55,542,94.66,214.81,1,-1,-1,-1
2,5,1744,476,123.42,280.06,1,-1,-1,-1
2,6,1641,494,40.123,91.049,1,-1,-1,-1
3,1,1742,513,94.66,214.81,1,-1,-1,-1
3,2,1312,503,61.514,139.59,1,-1,-1,-1
3,3,1234,415,103.17,234.13,1,-1,-1,-1
3,4,51,555,87.838,199.32,1,-1,-1,-1
3,5,1664,418,135.42,307.29,1,-1,-1,-1
3,6,1641,494,40.123,91.049,1,-1,-1,-1
3,7,1776,473,113.37,257.27,1,-1,-1,-1
3,8,107,494,103.17,234.13,1,-1,-1,-1
4,1,1742,513,94.66,214.81,1,-1,-1,-1
4,2,1305,500,67.474,153.11,1,-1,-1,-1
4,3,1234,415,103.17,234.13,1,-1,-1,-1
4,4,58,566,79.918,181.35,1,-1,-1,-1
4,5,1668,371,159.84,362.7,1,-1,-1,-1
4,6,1641,494,40.123,91.049,1,-1,-1,-1
4,7,1759,473,113.37,257.27,1,-1,-1,-1
4,8,107,494,103.17,234.13,1,-1,-1,-1
4,9,1852,505,30.903,70.127,1,-1,-1,-1
5,1,1742,513,94.66,214.81,1,-1,-1,-1
5,2,1318,537,52.0,118.0,1,-1,-1,-1
5,3,1234,415,103.17,234.13,1,-1,-1,-1
5,4,58,566,79.918,181.35,1,-1,-1,-1
5,5,1643,396,159.84,362.7,1,-1,-1,-1
5,6,1641,494,40.123,91.049,1,-1,-1,-1
5,7,1692,371,159.84,362.7,1,-1,-1,-1
5,8,107,494,103.17,234.13,1,-1,-1,-1
5,9,1848,505,30.903,70.127,1,-1,-1,-1
6,1,1741,473,113.37,257.27,1,-1,-1,-1
6,2,1318,537,52.0,118.0,1,-1,-1,-1
6,3,1234,415,103.17,234.13,1,-1,-1,-1
6,4,58,566,79.918,181.35,1,-1,-1,-1
6,5,1666,385,146.62,332.71,1,-1,-1,-1
6,6,1641,494,40.123,91.049,1,-1,-1,-1
6,7,1692,371,159.84,362.7,1,-1,-1,-1
6,8,107,494,103.17,234.13,1,-1,-1,-1
6,9,1849,510,28.302,64.224,1,-1,-1,-1
6,10,1333,498,56.686,128.63,1,-1,-1,-1
7,1,1741,473,113.37,257.27,1,-1,-1,-1
7,2,1316,489,67.474,153.11,1,-1,-1,-1
7,3,1234,415,103.17,234.13,1,-1,-1,-1
7,4,58,566,79.918,181.35,1,-1,-1,-1
7,5,1668,371,159.84,362.7,1,-1,-1,-1
7,7,1692,371,159.84,362.7,1,-1,-1,-1
7,8,159,550,40.123,91.049,1,-1,-1,-1
7,9,1849,510,28.302,64.224,1,-1,-1,-1
7,10,1351,506,56.686,128.63,1,-1,-1,-1
7,11,1263,545,47.794,108.46,1,-1,-1,-1
8,1,1741,473,113.37,257.27,1,-1,-1,-1
8,2,1322,494,61.514,139.59,1,-1,-1,-1
8,4,123,494,103.17,234.13,1,-1,-1,-1
8,5,1668,371,159.84,362.7,1,-1,-1,-1
8,7,1692,371,159.84,362.7,1,-1,-1,-1
8,8,159,550,40.123,91.049,1,-1,-1,-1
8,9,1848,505,30.903,70.127,1,-1,-1,-1
8,10,1351,506,56.686,128.63,1,-1,-1,-1
8,11,1263,545,47.794,108.46,1,-1,-1,-1
8,12,257,455,113.37,257.27,1,-1,-1,-1
9,1,1727,418,135.42,307.29,1,-1,-1,-1
9,2,1326,489,67.474,153.11,1,-1,-1,-1
9,4,142,521,52.0,118.0,1,-1,-1,-1
9,5,1666,385,146.62,332.71,1,-1,-1,-1
9,7,1692,371,159.84,362.7,1,-1,-1,-1
9,8,159,550,40.123,91.049,1,-1,-1,-1
9,9,1848,505,30.903,70.127,1,-1,-1,-1
9,10,1351,506,56.686,128.63,1,-1,-1,-1
9,11,1274,551,43.624,98.993,1,-1,-1,-1
9,12,266,463,103.17,234.13,1,-1,-1,-1
10,1,1727,418,135.42,307.29,1,-1,-1,-1
10,2,1326,500,67.474,153.11,1,-1,-1,-1
10,4,146,515,56.686,128.63,1,-1,-1,-1
10,5,1689,385,146.62,332.71,1,-1,-1,-1
10,8,159,550,40.123,91.049,1,-1,-1,-1
10,9,1849,510,28.302,64.224,1,-1,-1,-1
10,10,1351,506,56.686,128.63,1,-1,-1,-1
10,11,1278,545,47.794,108.46,1,-1,-1,-1
10,12,266,463,103.17,234.13,1,-1,-1,-1
11,1,1727,418,135.42,307.29,1,-1,-1,-1
11,2,1326,500,67.474,153.11,1,-1,-1,-1
11,4,171,481,26.0,59.0,1,-1,-1,-1
11,5,1689,385,146.62,332.71,1,-1,-1,-1
11,8,159,550,40.123,91.049,1,-1,-1,-1
11,9,1844,367,94.66,214.81,1,-1,-1,-1
11,10,1351,506,56.686,128.63,1,-1,-1,-1
11,11,1278,545,47.794,108.46,1,-1,-1,-1
11,12,266,463,103.17,234.13,1,-1,-1,-1
12,1,1619,396,159.84,362.7,1,-1,-1,-1
12,2,1326,490,73.864,167.61,1,-1,-1,-1
12,4,-8,290,207.45,470.74,1,-1,-1,-1
12,5,1689,408,146.62,332.71,1,-1,-1,-1
